title,category,price_gbp,rating,availability,url,price_band
Lost Heart Dies,Crime,13.64,2,In stock,https://books.toscrape.com/catalogue/book-28/index.html,Mid (£10-20)
A Light Falls,Crime,48.63,3,In stock,https://books.toscrape.com/catalogue/book-29/index.html,Premium (£35+)
A Secret Lives,Business,51.96,2,In stock,https://books.toscrape.com/catalogue/book-30/index.html,Premium (£35+)
Dark Shadow Lives,Romance,15.67,3,In stock,https://books.toscrape.com/catalogue/book-31/index.html,Mid (£10-20)
Dark World Again,Business,15.74,5,In stock,https://books.toscrape.com/catalogue/book-32/index.html,Mid (£10-20)
Our Shadow Lives,Classics,50.32,5,In stock,https://books.toscrape.com/catalogue/book-33/index.html,Premium (£35+)
My Light,Young Adult,52.01,5,Out of stock,https://books.toscrape.com/catalogue/book-34/index.html,Premium (£35+)
One Light Speaks,Biography,55.66,4,In stock,https://books.toscrape.com/catalogue/book-35/index.html,Premium (£35+)
The Heart Speaks,Crime,10.13,3,In stock,https://books.toscrape.com/catalogue/book-36/index.html,Mid (£10-20)
Bright World Forever,Travel,4.37,4,In stock,https://books.toscrape.com/catalogue/book-37/index.html,Budget (£0-10)
Lost Journey Returns,Poetry,5.73,3,In stock,https://books.toscrape.com/catalogue/book-38/index.html,Budget (£0-10)
Lost Journey Lives,Humor,15.52,4,In stock,https://books.toscrape.com/catalogue/book-39/index.html,Mid (£10-20)
Our Storm Returns,Humor,31.84,5,In stock,https://books.toscrape.com/catalogue/book-40/index.html,Upper-Mid (£20-35)
Last Journey,Thriller,40.62,3,In stock,https://books.toscrape.com/catalogue/book-41/index.html,Premium (£35+)
Our World Rises,Humor,59.76,2,In stock,https://books.toscrape.com/catalogue/book-42/index.html,Premium (£35+)
Last Promise Forever,Children,52.96,5,In stock,https://books.toscrape.com/catalogue/book-43/index.html,Premium (£35+)
Bright Secret Speaks,Classics,42.5,4,In stock,https://books.toscrape.com/catalogue/book-44/index.html,Premium (£35+)
A Journey Speaks,Romance,56.39,2,In stock,https://books.toscrape.com/catalogue/book-45/index.html,Premium (£35+)
Our Promise Speaks,Self Help,36.68,4,In stock,https://books.toscrape.com/catalogue/book-46/index.html,Premium (£35+)
One Secret,Historical Fiction,6.44,3,In stock,https://books.toscrape.com/catalogue/book-47/index.html,Budget (£0-10)
Dark World Lives,Thriller,38.58,3,In stock,https://books.toscrape.com/catalogue/book-48/index.html,Premium (£35+)
My World,Romance,5.44,5,In stock,https://books.toscrape.com/catalogue/book-49/index.html,Budget (£0-10)
The Promise Falls,Humor,33.59,3,Out of stock,https://books.toscrape.com/catalogue/book-50/index.html,Upper-Mid (£20-35)
Our Journey Falls,Historical Fiction,54.03,3,In stock,https://books.toscrape.com/catalogue/book-51/index.html,Premium (£35+)
Our Shadow Forever,Psychology,58.45,4,Out of stock,https://books.toscrape.com/catalogue/book-52/index.html,Premium (£35+)
First Dream Rises,Mystery,11.58,5,In stock,https://books.toscrape.com/catalogue/book-53/index.html,Mid (£10-20)
Dark Dream Returns,Romance,23.57,1,In stock,https://books.toscrape.com/catalogue/book-54/index.html,Upper-Mid (£20-35)
Our Dream,Business,21.63,5,In stock,https://books.toscrape.com/catalogue/book-55/index.html,Upper-Mid (£20-35)
One Storm Speaks,Horror,20.36,5,In stock,https://books.toscrape.com/catalogue/book-56/index.html,Upper-Mid (£20-35)
One Shadow Rises,Classics,20.53,1,In stock,https://books.toscrape.com/catalogue/book-57/index.html,Upper-Mid (£20-35)
Last Light Speaks,Food and Drink,26.63,4,In stock,https://books.toscrape.com/catalogue/book-58/index.html,Upper-Mid (£20-35)
First Secret Speaks,Humor,12.21,1,Out of stock,https://books.toscrape.com/catalogue/book-59/index.html,Mid (£10-20)
Our Storm Lives,Classics,41.52,5,In stock,https://books.toscrape.com/catalogue/book-60/index.html,Premium (£35+)
A Promise Speaks,Travel,37.76,4,In stock,https://books.toscrape.com/catalogue/book-61/index.html,Premium (£35+)
Bright Shadow Returns,Psychology,20.24,4,In stock,https://books.toscrape.com/catalogue/book-62/index.html,Upper-Mid (£20-35)
Lost Heart Rises,Horror,40.95,5,In stock,https://books.toscrape.com/catalogue/book-63/index.html,Premium (£35+)
Lost Heart Falls,Mystery,18.93,3,In stock,https://books.toscrape.com/catalogue/book-64/index.html,Mid (£10-20)
My Journey Rises,Business,40.86,4,In stock,https://books.toscrape.com/catalogue/book-65/index.html,Premium (£35+)
Our Promise Returns,Food and Drink,20.77,5,In stock,https://books.toscrape.com/catalogue/book-66/index.html,Upper-Mid (£20-35)
Dark Heart Again,Thriller,2.44,3,In stock,https://books.toscrape.com/catalogue/book-67/index.html,Budget (£0-10)
Dark Light Returns,Humor,12.47,4,In stock,https://books.toscrape.com/catalogue/book-68/index.html,Mid (£10-20)
A Light Returns,Mystery,53.66,5,In stock,https://books.toscrape.com/catalogue/book-69/index.html,Premium (£35+)
A Path Forever,Poetry,28.4,4,In stock,https://books.toscrape.com/catalogue/book-70/index.html,Upper-Mid (£20-35)
Dark Heart Speaks,Poetry,59.28,4,In stock,https://books.toscrape.com/catalogue/book-71/index.html,Premium (£35+)
Dark Path Rises,Classics,27.3,3,In stock,https://books.toscrape.com/catalogue/book-72/index.html,Upper-Mid (£20-35)
Our Promise Dies,Biography,46.18,4,In stock,https://books.toscrape.com/catalogue/book-73/index.html,Premium (£35+)
Bright Journey Forever,Self Help,14.83,3,In stock,https://books.toscrape.com/catalogue/book-74/index.html,Mid (£10-20)
A Light Lives,Horror,41.94,4,In stock,https://books.toscrape.com/catalogue/book-75/index.html,Premium (£35+)
First Light,Business,25.53,3,Out of stock,https://books.toscrape.com/catalogue/book-76/index.html,Upper-Mid (£20-35)
Last Promise Lives,Humor,23.44,1,Out of stock,https://books.toscrape.com/catalogue/book-77/index.html,Upper-Mid (£20-35)
Lost Dream Dies,Psychology,32.75,4,In stock,https://books.toscrape.com/catalogue/book-78/index.html,Upper-Mid (£20-35)
First Shadow Dies,Psychology,29.65,3,Out of stock,https://books.toscrape.com/catalogue/book-79/index.html,Upper-Mid (£20-35)
Lost Heart,Food and Drink,32.51,5,In stock,https://books.toscrape.com/catalogue/book-80/index.html,Upper-Mid (£20-35)
The Promise Lives,Psychology,9,4,In stock,https://books.toscrape.com/catalogue/book-81/index.html,Budget (£0-10)
First Promise Lives,Business,20.28,4,In stock,https://books.toscrape.com/catalogue/book-82/index.html,Upper-Mid (£20-35)
The Storm Returns,Science Fiction,28.74,4,In stock,https://books.toscrape.com/catalogue/book-83/index.html,Upper-Mid (£20-35)
Our Secret Forever,Historical Fiction,45.49,5,In stock,https://books.toscrape.com/catalogue/book-84/index.html,Premium (£35+)
Our Path Rises,Crime,40.49,4,In stock,https://books.toscrape.com/catalogue/book-85/index.html,Premium (£35+)
A Shadow Rises,Fantasy,36.74,5,In stock,https://books.toscrape.com/catalogue/book-86/index.html,Premium (£35+)
First Light Returns,Mystery,55.8,4,In stock,https://books.toscrape.com/catalogue/book-87/index.html,Premium (£35+)
Lost Journey,Nonfiction,7.01,4,In stock,https://books.toscrape.com/catalogue/book-88/index.html,Budget (£0-10)
Last Secret Lives,Psychology,40.02,2,In stock,https://books.toscrape.com/catalogue/book-89/index.html,Premium (£35+)
Dark Shadow Lives,Romance,26.57,3,In stock,https://books.toscrape.com/catalogue/book-90/index.html,Upper-Mid (£20-35)
Bright Path Dies,Poetry,57.95,3,In stock,https://books.toscrape.com/catalogue/book-91/index.html,Premium (£35+)
A Promise Dies,Humor,16.83,5,In stock,https://books.toscrape.com/catalogue/book-92/index.html,Mid (£10-20)
Last Secret Dies,Business,34.62,4,Out of stock,https://books.toscrape.com/catalogue/book-93/index.html,Upper-Mid (£20-35)
One Storm Rises,Fantasy,29.76,3,Out of stock,https://books.toscrape.com/catalogue/book-94/index.html,Upper-Mid (£20-35)
Our Journey Returns,Biography,33.79,4,In stock,https://books.toscrape.com/catalogue/book-95/index.html,Upper-Mid (£20-35)
Dark Path Dies,Crime,33.75,3,In stock,https://books.toscrape.com/catalogue/book-96/index.html,Upper-Mid (£20-35)
Our Promise Falls,Science Fiction,18.36,3,In stock,https://books.toscrape.com/catalogue/book-97/index.html,Mid (£10-20)
Bright Storm Falls,Poetry,21.28,5,In stock,https://books.toscrape.com/catalogue/book-98/index.html,Upper-Mid (£20-35)
Our Storm Again,Biography,19.09,3,In stock,https://books.toscrape.com/catalogue/book-99/index.html,Mid (£10-20)
One Heart Speaks,Fantasy,12.3,4,In stock,https://books.toscrape.com/catalogue/book-100/index.html,Mid (£10-20)
Last Shadow Rises,Romance,50.12,3,In stock,https://books.toscrape.com/catalogue/book-101/index.html,Premium (£35+)
The World Rises,Classics,8.47,1,In stock,https://books.toscrape.com/catalogue/book-102/index.html,Budget (£0-10)
A Secret Rises,Thriller,38.63,4,In stock,https://books.toscrape.com/catalogue/book-103/index.html,Premium (£35+)
One Path Again,Business,21.1,5,In stock,https://books.toscrape.com/catalogue/book-104/index.html,Upper-Mid (£20-35)
The Shadow Forever,Horror,30.01,4,In stock,https://books.toscrape.com/catalogue/book-105/index.html,Upper-Mid (£20-35)
Bright Light Returns,Self Help,6.02,3,In stock,https://books.toscrape.com/catalogue/book-106/index.html,Budget (£0-10)
Lost Light Rises,Horror,27.58,3,In stock,https://books.toscrape.com/catalogue/book-107/index.html,Upper-Mid (£20-35)
Our Dream Rises,Historical Fiction,36.96,4,In stock,https://books.toscrape.com/catalogue/book-108/index.html,Premium (£35+)
My Secret Lives,Fantasy,15.15,4,In stock,https://books.toscrape.com/catalogue/book-109/index.html,Mid (£10-20)
One Promise Dies,Food and Drink,28.72,1,In stock,https://books.toscrape.com/catalogue/book-110/index.html,Upper-Mid (£20-35)
Lost Dream Lives,Nonfiction,55.5,4,In stock,https://books.toscrape.com/catalogue/book-111/index.html,Premium (£35+)
My Journey,Nonfiction,39.2,5,In stock,https://books.toscrape.com/catalogue/book-112/index.html,Premium (£35+)
One Path Again,Self Help,36.1,5,In stock,https://books.toscrape.com/catalogue/book-113/index.html,Premium (£35+)
Bright World Dies,Self Help,42.28,5,In stock,https://books.toscrape.com/catalogue/book-114/index.html,Premium (£35+)
Last Heart Rises,Food and Drink,3.35,3,In stock,https://books.toscrape.com/catalogue/book-115/index.html,Budget (£0-10)
Lost Heart,Nonfiction,57.74,5,Out of stock,https://books.toscrape.com/catalogue/book-116/index.html,Premium (£35+)
My Path Speaks,Biography,34.99,4,In stock,https://books.toscrape.com/catalogue/book-117/index.html,Upper-Mid (£20-35)
Dark Journey Dies,Biography,11.71,4,In stock,https://books.toscrape.com/catalogue/book-118/index.html,Mid (£10-20)
My Storm Lives,Travel,19.94,2,In stock,https://books.toscrape.com/catalogue/book-119/index.html,Mid (£10-20)
Bright Secret Dies,Self Help,40.09,3,In stock,https://books.toscrape.com/catalogue/book-120/index.html,Premium (£35+)
First World,Biography,20.07,5,In stock,https://books.toscrape.com/catalogue/book-121/index.html,Upper-Mid (£20-35)
Bright Storm Dies,Classics,28.25,2,In stock,https://books.toscrape.com/catalogue/book-122/index.html,Upper-Mid (£20-35)
One Path Dies,Historical Fiction,13.01,4,In stock,https://books.toscrape.com/catalogue/book-123/index.html,Mid (£10-20)
One World,Food and Drink,48.15,4,In stock,https://books.toscrape.com/catalogue/book-124/index.html,Premium (£35+)
A Path Again,Science Fiction,14.26,5,In stock,https://books.toscrape.com/catalogue/book-125/index.html,Mid (£10-20)
Bright Promise Lives,Thriller,30.4,4,In stock,https://books.toscrape.com/catalogue/book-126/index.html,Upper-Mid (£20-35)
First Dream Speaks,Crime,15.38,4,In stock,https://books.toscrape.com/catalogue/book-127/index.html,Mid (£10-20)
First Storm Speaks,Thriller,51.97,3,In stock,https://books.toscrape.com/catalogue/book-128/index.html,Premium (£35+)
Lost Heart Dies,Mystery,17.68,3,Out of stock,https://books.toscrape.com/catalogue/book-129/index.html,Mid (£10-20)
Bright World Lives,Business,32.77,3,In stock,https://books.toscrape.com/catalogue/book-130/index.html,Upper-Mid (£20-35)
Our Heart Lives,Travel,52.3,5,In stock,https://books.toscrape.com/catalogue/book-131/index.html,Premium (£35+)
First Light Forever,Psychology,3.57,4,In stock,https://books.toscrape.com/catalogue/book-132/index.html,Budget (£0-10)
Last Journey Dies,Historical Fiction,8.45,5,In stock,https://books.toscrape.com/catalogue/book-133/index.html,Budget (£0-10)
My Journey Dies,Business,1.91,2,In stock,https://books.toscrape.com/catalogue/book-134/index.html,Budget (£0-10)
A Storm Speaks,Biography,20.97,4,In stock,https://books.toscrape.com/catalogue/book-135/index.html,Upper-Mid (£20-35)
Dark World,Travel,37.97,5,In stock,https://books.toscrape.com/catalogue/book-136/index.html,Premium (£35+)
Our Journey Lives,Nonfiction,38.23,5,Out of stock,https://books.toscrape.com/catalogue/book-137/index.html,Premium (£35+)
The Secret Falls,Romance,27.17,4,In stock,https://books.toscrape.com/catalogue/book-138/index.html,Upper-Mid (£20-35)
Our World Lives,Self Help,22.15,3,In stock,https://books.toscrape.com/catalogue/book-139/index.html,Upper-Mid (£20-35)
First Heart Returns,Fantasy,11.03,2,In stock,https://books.toscrape.com/catalogue/book-140/index.html,Mid (£10-20)
One Path Rises,Humor,9.44,4,In stock,https://books.toscrape.com/catalogue/book-141/index.html,Budget (£0-10)
My Journey Dies,Business,54.16,4,Out of stock,https://books.toscrape.com/catalogue/book-142/index.html,Premium (£35+)
One Path Rises,Humor,18.65,5,In stock,https://books.toscrape.com/catalogue/book-143/index.html,Mid (£10-20)
First Heart Falls,Horror,51.34,2,In stock,https://books.toscrape.com/catalogue/book-144/index.html,Premium (£35+)
First Promise,Self Help,2.29,5,In stock,https://books.toscrape.com/catalogue/book-145/index.html,Budget (£0-10)
One Dream Falls,Historical Fiction,54.72,4,In stock,https://books.toscrape.com/catalogue/book-146/index.html,Premium (£35+)
My Journey,Young Adult,37.63,4,In stock,https://books.toscrape.com/catalogue/book-147/index.html,Premium (£35+)
My Journey Rises,Business,2.97,3,In stock,https://books.toscrape.com/catalogue/book-148/index.html,Budget (£0-10)
Bright Storm Speaks,Psychology,11.36,2,In stock,https://books.toscrape.com/catalogue/book-149/index.html,Mid (£10-20)
Dark Promise Falls,Biography,49.99,3,In stock,https://books.toscrape.com/catalogue/book-150/index.html,Premium (£35+)
Our Light Speaks,Business,57.8,2,In stock,https://books.toscrape.com/catalogue/book-151/index.html,Premium (£35+)
Dark Storm Rises,Horror,1.82,4,In stock,https://books.toscrape.com/catalogue/book-152/index.html,Budget (£0-10)
The Heart Speaks,Children,7.39,3,In stock,https://books.toscrape.com/catalogue/book-153/index.html,Budget (£0-10)
Dark Promise Lives,Food and Drink,14.06,2,In stock,https://books.toscrape.com/catalogue/book-154/index.html,Mid (£10-20)
Dark Journey Again,Historical Fiction,56.82,3,In stock,https://books.toscrape.com/catalogue/book-155/index.html,Premium (£35+)
Bright Light Forever,Classics,9,4,Out of stock,https://books.toscrape.com/catalogue/book-156/index.html,Budget (£0-10)
One Secret Falls,Romance,50.18,4,In stock,https://books.toscrape.com/catalogue/book-157/index.html,Premium (£35+)
A Storm Speaks,Business,57.07,5,Out of stock,https://books.toscrape.com/catalogue/book-158/index.html,Premium (£35+)
A Path Again,Children,4.57,3,In stock,https://books.toscrape.com/catalogue/book-159/index.html,Budget (£0-10)
Last Dream Forever,Food and Drink,58.28,2,In stock,https://books.toscrape.com/catalogue/book-160/index.html,Premium (£35+)
Our Heart Returns,Young Adult,5.05,4,In stock,https://books.toscrape.com/catalogue/book-161/index.html,Budget (£0-10)
Lost Secret Rises,Nonfiction,20.38,2,Out of stock,https://books.toscrape.com/catalogue/book-162/index.html,Upper-Mid (£20-35)
My Journey,Thriller,59.25,4,In stock,https://books.toscrape.com/catalogue/book-163/index.html,Premium (£35+)
Last Secret Forever,Children,47.6,3,In stock,https://books.toscrape.com/catalogue/book-164/index.html,Premium (£35+)
A Path Dies,Thriller,44.75,4,In stock,https://books.toscrape.com/catalogue/book-165/index.html,Premium (£35+)
Our Heart,Poetry,36.02,4,In stock,https://books.toscrape.com/catalogue/book-166/index.html,Premium (£35+)
The Secret Dies,Poetry,18.79,4,In stock,https://books.toscrape.com/catalogue/book-167/index.html,Mid (£10-20)
Dark Journey Again,Psychology,41.47,4,In stock,https://books.toscrape.com/catalogue/book-168/index.html,Premium (£35+)
Lost World Falls,Thriller,4.87,3,In stock,https://books.toscrape.com/catalogue/book-169/index.html,Budget (£0-10)
Lost Light Again,Food and Drink,32.3,4,In stock,https://books.toscrape.com/catalogue/book-170/index.html,Upper-Mid (£20-35)
Bright Dream Lives,Romance,51.31,4,In stock,https://books.toscrape.com/catalogue/book-171/index.html,Premium (£35+)
First Light Again,Nonfiction,25.41,5,In stock,https://books.toscrape.com/catalogue/book-172/index.html,Upper-Mid (£20-35)
My Path Again,Travel,40.23,3,In stock,https://books.toscrape.com/catalogue/book-173/index.html,Premium (£35+)
Last Shadow Speaks,Science Fiction,6.5,2,In stock,https://books.toscrape.com/catalogue/book-174/index.html,Budget (£0-10)
First Storm Lives,Classics,34.13,4,Out of stock,https://books.toscrape.com/catalogue/book-175/index.html,Upper-Mid (£20-35)
Last Journey Speaks,Historical Fiction,58.13,4,In stock,https://books.toscrape.com/catalogue/book-176/index.html,Premium (£35+)
Bright Storm Again,Crime,14.23,2,In stock,https://books.toscrape.com/catalogue/book-177/index.html,Mid (£10-20)
Bright Heart Speaks,Humor,14.34,3,In stock,https://books.toscrape.com/catalogue/book-178/index.html,Mid (£10-20)
One Storm Falls,Biography,2.71,3,In stock,https://books.toscrape.com/catalogue/book-179/index.html,Budget (£0-10)
My Secret Again,Thriller,34.41,3,In stock,https://books.toscrape.com/catalogue/book-180/index.html,Upper-Mid (£20-35)
My Storm Rises,Young Adult,23.19,4,In stock,https://books.toscrape.com/catalogue/book-181/index.html,Upper-Mid (£20-35)
My Shadow,Humor,36.17,5,In stock,https://books.toscrape.com/catalogue/book-182/index.html,Premium (£35+)
Lost Path Lives,Biography,27.14,3,In stock,https://books.toscrape.com/catalogue/book-183/index.html,Upper-Mid (£20-35)
One Heart Dies,Poetry,7.71,3,In stock,https://books.toscrape.com/catalogue/book-184/index.html,Budget (£0-10)
Lost Secret,Self Help,3.68,3,In stock,https://books.toscrape.com/catalogue/book-185/index.html,Budget (£0-10)
One Storm Again,Young Adult,46.27,4,In stock,https://books.toscrape.com/catalogue/book-186/index.html,Premium (£35+)
Our World Speaks,Psychology,11.36,3,In stock,https://books.toscrape.com/catalogue/book-187/index.html,Mid (£10-20)
The Light,Children,5.25,5,In stock,https://books.toscrape.com/catalogue/book-188/index.html,Budget (£0-10)
Lost Light Lives,Science Fiction,51.86,4,In stock,https://books.toscrape.com/catalogue/book-189/index.html,Premium (£35+)
Lost Path Falls,Horror,2.23,3,In stock,https://books.toscrape.com/catalogue/book-190/index.html,Budget (£0-10)
Bright Journey Lives,Romance,15.35,4,Out of stock,https://books.toscrape.com/catalogue/book-191/index.html,Mid (£10-20)
A World Again,Travel,14.07,4,In stock,https://books.toscrape.com/catalogue/book-192/index.html,Mid (£10-20)
My Dream Again,Young Adult,54.44,3,In stock,https://books.toscrape.com/catalogue/book-193/index.html,Premium (£35+)
A Shadow Dies,Young Adult,11.23,3,In stock,https://books.toscrape.com/catalogue/book-194/index.html,Mid (£10-20)
Lost Heart Falls,Humor,45.83,3,Out of stock,https://books.toscrape.com/catalogue/book-195/index.html,Premium (£35+)
Dark Promise Rises,Travel,9.9,2,In stock,https://books.toscrape.com/catalogue/book-196/index.html,Budget (£0-10)
Dark Secret,Children,30.93,3,In stock,https://books.toscrape.com/catalogue/book-197/index.html,Upper-Mid (£20-35)
A Heart Speaks,Self Help,5.53,5,In stock,https://books.toscrape.com/catalogue/book-198/index.html,Budget (£0-10)
The Path Returns,Humor,33.7,4,In stock,https://books.toscrape.com/catalogue/book-199/index.html,Upper-Mid (£20-35)
Dark Journey Falls,Crime,30.58,5,Out of stock,https://books.toscrape.com/catalogue/book-200/index.html,Upper-Mid (£20-35)
Our Path Dies,Science Fiction,30.76,3,In stock,https://books.toscrape.com/catalogue/book-201/index.html,Upper-Mid (£20-35)
One Light Lives,Food and Drink,10.36,3,In stock,https://books.toscrape.com/catalogue/book-202/index.html,Mid (£10-20)
Last Journey Falls,Food and Drink,4.09,4,In stock,https://books.toscrape.com/catalogue/book-203/index.html,Budget (£0-10)
Lost Shadow Falls,Horror,17.76,4,In stock,https://books.toscrape.com/catalogue/book-204/index.html,Mid (£10-20)
First Shadow Again,Thriller,55.08,3,In stock,https://books.toscrape.com/catalogue/book-205/index.html,Premium (£35+)
My World Again,Horror,38.96,3,In stock,https://books.toscrape.com/catalogue/book-206/index.html,Premium (£35+)
One Shadow Returns,Psychology,31,1,In stock,https://books.toscrape.com/catalogue/book-207/index.html,Upper-Mid (£20-35)
My Journey Rises,Crime,12.33,5,In stock,https://books.toscrape.com/catalogue/book-208/index.html,Mid (£10-20)
Bright Secret Falls,Romance,30.95,4,Out of stock,https://books.toscrape.com/catalogue/book-209/index.html,Upper-Mid (£20-35)
My Shadow Forever,Food and Drink,8.73,3,In stock,https://books.toscrape.com/catalogue/book-210/index.html,Budget (£0-10)
Our Path Rises,Historical Fiction,25.24,4,In stock,https://books.toscrape.com/catalogue/book-211/index.html,Upper-Mid (£20-35)
Dark Dream Falls,Business,14.8,3,In stock,https://books.toscrape.com/catalogue/book-212/index.html,Mid (£10-20)
One Light Speaks,Humor,59.07,4,In stock,https://books.toscrape.com/catalogue/book-213/index.html,Premium (£35+)
My Promise,Fantasy,49.19,5,In stock,https://books.toscrape.com/catalogue/book-214/index.html,Premium (£35+)
Bright Journey Rises,Children,33.71,2,In stock,https://books.toscrape.com/catalogue/book-215/index.html,Upper-Mid (£20-35)
My Light Again,Fantasy,17.09,5,Out of stock,https://books.toscrape.com/catalogue/book-216/index.html,Mid (£10-20)
The Light,Nonfiction,49.18,5,In stock,https://books.toscrape.com/catalogue/book-217/index.html,Premium (£35+)
Last Dream,Children,14.91,5,In stock,https://books.toscrape.com/catalogue/book-218/index.html,Mid (£10-20)
My Shadow,Romance,50.5,4,In stock,https://books.toscrape.com/catalogue/book-219/index.html,Premium (£35+)
Dark Path,Crime,42.06,2,Out of stock,https://books.toscrape.com/catalogue/book-220/index.html,Premium (£35+)
Bright Heart Speaks,Mystery,16.1,5,In stock,https://books.toscrape.com/catalogue/book-221/index.html,Mid (£10-20)
Our Light Dies,Self Help,15.02,2,In stock,https://books.toscrape.com/catalogue/book-222/index.html,Mid (£10-20)
Bright Heart Returns,Crime,36.2,1,In stock,https://books.toscrape.com/catalogue/book-223/index.html,Premium (£35+)
Our Heart Lives,Self Help,26.32,4,In stock,https://books.toscrape.com/catalogue/book-224/index.html,Upper-Mid (£20-35)
Bright World Speaks,Science Fiction,31.88,3,In stock,https://books.toscrape.com/catalogue/book-225/index.html,Upper-Mid (£20-35)
Dark Secret Lives,Poetry,33.69,3,Out of stock,https://books.toscrape.com/catalogue/book-226/index.html,Upper-Mid (£20-35)
A Storm Returns,Biography,45.08,3,In stock,https://books.toscrape.com/catalogue/book-227/index.html,Premium (£35+)
Last Shadow,Romance,46.51,4,In stock,https://books.toscrape.com/catalogue/book-228/index.html,Premium (£35+)
Dark Path Forever,Travel,48.99,3,In stock,https://books.toscrape.com/catalogue/book-229/index.html,Premium (£35+)
The Promise Returns,Science Fiction,43.24,5,In stock,https://books.toscrape.com/catalogue/book-230/index.html,Premium (£35+)
One World Lives,Young Adult,53.25,3,Out of stock,https://books.toscrape.com/catalogue/book-231/index.html,Premium (£35+)
Our Promise Falls,Classics,28.93,1,Out of stock,https://books.toscrape.com/catalogue/book-232/index.html,Upper-Mid (£20-35)
A Storm Lives,Historical Fiction,52.07,3,Out of stock,https://books.toscrape.com/catalogue/book-233/index.html,Premium (£35+)
My Path Dies,Business,53.77,3,In stock,https://books.toscrape.com/catalogue/book-234/index.html,Premium (£35+)
First Journey Lives,Poetry,16.73,2,In stock,https://books.toscrape.com/catalogue/book-235/index.html,Mid (£10-20)
A Storm Rises,Fantasy,33.18,3,In stock,https://books.toscrape.com/catalogue/book-236/index.html,Upper-Mid (£20-35)
Dark Storm Dies,Food and Drink,43.33,3,In stock,https://books.toscrape.com/catalogue/book-237/index.html,Premium (£35+)
The Journey Lives,Children,37.27,3,In stock,https://books.toscrape.com/catalogue/book-238/index.html,Premium (£35+)
Lost Path,Fantasy,57.21,2,In stock,https://books.toscrape.com/catalogue/book-239/index.html,Premium (£35+)
First Heart,Nonfiction,46.92,3,In stock,https://books.toscrape.com/catalogue/book-240/index.html,Premium (£35+)
